                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.91947,                 2.7129,                 3.7491,                 1.3758,                0.52825,                0.13465,                 0.0812,                0.05954,                0.54186,                0.12802,                0.07939,                0.05494,                0.93004,                 2.4271,                 3.1347,                 1.4449,               0.070097,              0.0033225,              0.0033225
                      1,                 0.8167,                 2.2673,                 2.6495,                 1.2734,                0.52589,                0.17643,                0.12433,                0.08938,                0.53496,                0.16884,                0.11853,                0.08097,                0.95174,                 2.3921,                 2.7095,                  1.464,               0.039877,              0.0064362,              0.0064362
                      2,                0.87508,                 2.3336,                 2.5325,                 1.2976,                0.55225,                0.13791,                0.10677,                0.07306,                0.56738,                 0.1306,                0.10081,                0.06474,                 1.0884,                 2.6834,                 2.8391,                 1.5739,              0.0094378,              0.0093299,              0.0093299
                      3,                0.92658,                 2.3828,                 2.5166,                 1.3352,                0.41765,                0.18598,                0.11941,                0.08394,                0.42572,                0.17582,                0.11936,                0.07851,                 1.0425,                 2.5478,                 2.6801,                 1.5442,                0.00901,                0.00901,                0.00901
                      4,                0.90811,                 2.3293,                 2.3954,                 1.3204,                0.45891,                0.17977,                0.14228,                0.10218,                0.46951,                0.16702,                0.13473,                0.09231,                 1.0587,                 2.5187,                 2.5741,                 1.5463,                0.00901,                0.00901,                0.00901
                      5,                 0.8823,                 2.2717,                 2.3133,                 1.2998,                0.46421,                0.21135,                0.16752,                0.12058,                0.48741,                0.20131,                0.16326,                0.10897,                  1.003,                 2.3566,                 2.3325,                 1.4986,                0.00868,                0.00868,                0.00868
                      6,                0.86079,                 2.2229,                 2.2233,                  1.287,                  0.436,                0.21121,                0.16153,                0.11622,                0.48985,                0.19732,                0.15713,                0.10702,                0.99298,                 2.3079,                  2.338,                 1.4753,                0.00835,                0.00835,                0.00835
                      7,                0.84026,                 2.1801,                 2.1711,                  1.272,                0.55628,                0.20007,                0.19617,                 0.1467,                0.57184,                0.19889,                0.19027,                0.13352,                0.92566,                 2.1876,                 2.1356,                 1.4257,                0.00802,                0.00802,                0.00802
                      8,                0.81945,                 2.1404,                 2.1012,                 1.2574,                0.47705,                0.23106,                0.20342,                0.14826,                0.47427,                0.22175,                0.19312,                0.13277,                0.93138,                 2.2237,                 2.1654,                 1.4348,                0.00769,                0.00769,                0.00769
                      9,                0.80233,                  2.104,                 2.0577,                 1.2437,                0.45901,                0.25027,                0.21509,                0.16118,                0.46245,                0.24015,                0.20856,                0.14215,                0.90269,                 2.1483,                 2.0712,                 1.4038,                0.00736,                0.00736,                0.00736
